description_pattern,category,min_amount_eur,max_amount_eur
"Lichtblick",Income:Salary,1000.01,999999999
"Aral",Expenses:Discretionary,-30,999999999
"Lichtblick SE",Expenses:Eitelstr,-999999999,-60.01
"Lichtblick SE",Expenses:Utilities,-60,0
"Hamburg Service",Expenses:Mandatory,,
"Bike24",Expenses:Bike,,
"Bike-Discount",Expenses:Bike,,
"r2 Handels GmbH",Expenses:Bike,,
"Internetstores",Expenses:Bike,,
"Komponentix",Expenses:Bike,,
"BIKECOMPON",Expenses:Bike,,
"cotic",Expenses:Bike,,
"decathlon",Expenses:Bike,,
"Globetrotter",Expenses:Bike,,
"BERGFREUNDE",Expenses:Bike,,
"TAILFIN",Expenses:Bike,,
"REWE",Expenses:Mandatory,,
"EDEKA",Expenses:Mandatory,,
"HIT ECHTE VIELFALT",Expenses:Mandatory,,
"nur hier gmbh",Expenses:Mandatory,,
"aldi nord",Expenses:Discretionary,,
"flaschenp",Expenses:Discretionary,,
"Apple Store",Expenses:Discretionary,,
"APPLE.COM/BILL",Expenses:Subscriptions,,
"Too Good To Go",Expenses:Mandatory,,
"Ryanair",Expenses:Travel,,
"EXTREMTEXTI",Expenses:Discretionary,,
"BRAUSTURM",Expenses:Discretionary,,
"KAFFEEREI",Expenses:Discretionary,,
"Amazon",Expenses:Discretionary,,
"DigitalOcean",Expenses:Subscriptions,,
"NextDNS",Expenses:Subscriptions,,
"Rossmann",Expenses:Mandatory,,
"Konditorei Junge",Expenses:Mandatory,,
"Telefonica",Expenses:Subscriptions,,
"Penny",Expenses:Mandatory,,
"LACHM",Expenses:Subscriptions,,
"elbgold",Expenses:Discretionary,,
"BEETS",Expenses:Discretionary,,
"Openai",Expenses:Subscriptions,,
"BRAUGASTHAUS",Expenses:Discretionary,,
"VON ALLWOERD",Expenses:Mandatory,,
"McDonald",Expenses:Discretionary,,
"Aena",Expenses:Discretionary,,
"MORA VICENS SL",Expenses:Discretionary,,
"Lidl",Expenses:Mandatory,,
"bvg",Expenses:Transportation,,
"NAH.SH",Expenses:Transportation,,
"DB Vertrieb",Expenses:Transportation,,
"Rczbikeshop",Expenses:Discretionary,,
"DHL",Expenses:Discretionary,,
"HERMES",Expenses:Discretionary,,
"EUROWINGS",Expenses:Travel,,
"LUFTHANSA",Expenses:Travel,,
"Kobe Nord",Expenses:Discretionary,,
"Sudden Death",Expenses:Discretionary,,
"Cafe Luise",Expenses:Discretionary,,
"IKEA",Expenses:Discretionary,,
"Telekom Deutschland GmbH",Expenses:Subscriptions,,
"Deutsche Bahn",Expenses:Transportation,,
"DB HAMBURG",Expenses:Transportation,,
"DB Fern",Expenses:Transportation,,
"Brauhaus",Expenses:Discretionary,,
"SATURN",Expenses:Discretionary,,
"BUDNI",Expenses:Mandatory,,
"Eat better now",Expenses:Discretionary,,
"A-ROSA",Expenses:Travel,,
"FPS Justice-Cross Bord Brussels",Expenses:Transportation,,
"Superfreunde",Expenses:Discretionary,,
"Miete Justus-Strandes-Weg",Expenses:Rent,,
"Domino",Expenses:Discretionary,,
"Hetzner",Expenses:Subscriptions,,
"Sanikonzept",Expenses:Discretionary,,
"FRIDAY Insurance",Expenses:Insurance,,
"WERTPAPIERABRECHNUNG",Expenses:Investments,,
"COSMOS Lebensversicherungs-Aktiengesellschaft",Expenses:Investments,,
"WP-ERTRÄGNISGUTSCHRIFT",Income:Dividends,,
"SCHECK-NR.",Income:Refunds,,
"Vodafone",Expenses:Eitelstr,,
"Helvetica Services",Expenses:Eitelstr,,
"Giorgi",Expenses:Eitelstr,,
"DEPOTENTGELT",Expenses:Subscriptions,,
"Abschluss per",Expenses:Subscriptions,,
"GLS Beitrag",Expenses:Subscriptions,,
"Lea",Income:Selling Used Shit,,
"vaude regen",Income:Selling Used Shit,,
"Nils Thomsen",Expenses:Discretionary,,
"Booking.com",Expenses:Travel,,
"E NEUKAUF",Expenses:Discretionary,,
"KINOHELD.DE",Expenses:Discretionary,,
"ZWEIRADHOTEL",Expenses:Travel,,
"Schnitzelhaus",Expenses:Discretionary,,
"NAME-CHEAP",Expenses:Subscriptions,,
"Taxfix",Expenses:Subscriptions,,
"Rundfunk ARD, ZDF, DRadio",Expenses:Utilities,,
"DAILY BREAD",Expenses:Bike,,
"TRANGIA",Expenses:Bike,,
"CINEMAXX",Expenses:Discretionary,,
"DALLMEYERS",Expenses:Mandatory,,
"AVIA",Expenses:Discretionary,,
"Regiomat",Expenses:Discretionary,,
